evidence_id,paragraph_id,claim,supporting_sources,contradicting_sources,locations,evidence_strength,limitations,evidence_type,status
INT-001,ME-03-P02,"Der Evaluator verarbeitet registrierte ausführbare Query Shapes und validierte Konfigurationen, nicht beliebige Querytexte.",,,"Konfigurationsschema; Registry; Validierungstests",pending,"Implementierung nach G3 noch zu prüfen beziehungsweise zu erweitern.",internal,planned
INT-002,ME-03-P03,"Referenzworkload, Gewichte, Seeds, Skalen und beobachtete Verteilungen sind versioniert und reproduzierbar.",,,"Workloadkonfiguration; Generator; Run-Manifeste",pending,"Finale Manifeste fehlen.",internal,planned
INT-003,ME-03-P04,"B enthält _id und I9; I1 bis I8 sind optional und ergeben 256 Sets.",,,"Indexregistry; Eligibility-Matrix; Smoke-Tests",pending,"Registry muss an G2 angepasst und technisch verifiziert werden.",internal,planned
INT-004,ME-03-P06,"Normalisierte Read-Kosten sowie additive Speicher- und Write-Proxys werden gemäß G2 berechnet.",,,"Kostenmodellimplementierung; Unit-Tests; Profilinputs",pending,"Implementierung und Rauschbehandlung fehlen noch.",internal,planned
INT-005,ME-03-P07,"Der Enumerator erzeugt alle 256 Sets und berechnet je Skalierung eine korrekte Pareto-Front.",,,"Enumerator; Dominanz-/Constraint-Tests; Ergebnisartefakt",pending,"Softwareerweiterung fehlt noch.",internal,planned
INT-006,ME-03-P08,"Read-Anker und 5-/10-/20-%-Kompromisse folgen deterministischen Regeln und Tie-Breakern.",,,"Auswahlimplementierung; Unit-Tests; Finalistenmanifest",pending,"Softwareerweiterung fehlt noch.",internal,planned
INT-007,ME-03-P09,"Baseline und primäre Finalisten werden physisch isoliert ohne hint und unter äquivalenten Zuständen gemessen.",,,"Runner; Resetlogik; Manifeste; Rohdaten",pending,"Praktische Arbeit darf erst nach G4 beginnen.",internal,planned
INT-008,EV-04-P01,"Nur vollständige und valide Profile gehen in die Auswertung ein.",,,"Validierungsberichte; Ausschlussprotokoll",pending,"Empirische Artefakte fehlen.",internal,planned
INT-009,EV-04-P02,"Einzelprofile liefern die normalisierte Kostenmatrix und Strukturkontrollen.",,,"Profil-CSV; Explain-Rohdaten",pending,"Empirische Artefakte fehlen.",internal,planned
INT-010,EV-04-P03,"Pareto-Fronten werden für 10k, 100k und 500k getrennt berichtet.",,,"Pareto-Ausgaben je Skalierung",pending,"Ergebnisse dürfen nicht vorweggenommen werden.",internal,planned
INT-011,EV-04-P04,"Stabile und wechselnde Pareto-Mitgliedschaften werden nur anhand beobachteter Daten erklärt.",,,"Skalenvergleich; Profilwerte",pending,"Keine unbeobachteten Ursachen behaupten.",internal,planned
INT-012,EV-04-P05,"Primäre Finalisten entstehen ausschließlich aus der vorab freigegebenen 10-%-Regel.",,,"Finalistenmanifest; Auswahltests",pending,"Ergebnisse fehlen.",internal,planned
INT-013,EV-04-P06,"5-%- und 20-%-Bänder dienen ausschließlich der rechnerischen Sensitivitätsanalyse.",,,"Sensitivitätsausgabe",pending,"Nur Screening-Evidenz für zusätzliche Sets.",internal,planned
INT-014,EV-04-P07,"Baseline und Finalisten werden anhand tatsächlicher Read-, Speicher- und Write-Messungen verglichen.",,,"Finalistenläufe; Explain; Größen- und Write-Manifeste",pending,"Empirische Artefakte fehlen.",internal,planned
INT-015,EV-04-P08,"Die Abweichung zwischen Screening-Schätzung und materialisierter Setleistung wird quantifiziert.",,,"Schätz-/Messvergleich; Fehlermaß",pending,"Fehlermaß muss vor Auswertung fixiert werden.",internal,planned
INT-016,EV-04-P09,"Die Empfehlung wird auf Workload, Kandidatenraum, Daten, Umgebung und Kostenmodell begrenzt.",,,"Synthese der validierten Ergebnisse und Limitationen",pending,"Empfehlung bleibt bis zur Messung offen.",internal,planned
